state,year,below_poverty_line_percent,median_household_income,mean cash public assistance income (dollars)
alabama,2010,0.25654450261780104,0.2808358756074327,0.14937046928653186
alabama,2011,0.2696335078534031,0.2911215347698689,0.17226249523082793
alabama,2012,0.28272251308900526,0.29384669182814627,0.17626859977107975
alabama,2013,0.29581151832460734,0.2949681060158445,0.17779473483403282
alabama,2014,0.3036649214659685,0.29807912602042663,0.18180083937428462
alabama,2015,0.3010471204188481,0.2994296463324933,0.18943151468904998
alabama,2016,0.29057591623036644,0.3131157227092402,0.18714231209462037
alabama,2017,0.28010471204188475,0.3337835067706889,0.1934376192293018
alabama,2018,0.26701570680628267,0.35806875595374466,0.17798550171690194
alabama,2019,0.24607329842931933,0.3827881009513933,0.21747424647081268
alabama,2020,0.2277486910994764,0.4008633683423569,0.17989317054559328
alabama,2021,0.2225130890052356,0.4359286635878019,0.24208317436093094
alabama,2022,0.21989528795811514,0.49219230444586465,0.2890118275467379
alaska,2010,0.05759162303664921,0.5755387008476927,0.4505913773368943
alaska,2011,0.05759162303664921,0.6055998360082478,0.45402518122853874
alaska,2012,0.06020942408376963,0.6164884060242852,0.45536054940862264
alaska,2013,0.06806282722513089,0.6266534830160012,0.49198779091949635
alaska,2014,0.07329842931937172,0.6395437170659947,0.4921785578023655
alaska,2015,0.07591623036649213,0.6478156539774029,0.4769172071728348
alaska,2016,0.07329842931937172,0.6710759547093367,0.47310186951545213
alaska,2017,0.07591623036649213,0.6912131772196163,0.4465852727966425
alaska,2018,0.09162303664921467,0.6984601656799025,0.4208317436093094
alaska,2019,0.08900523560209422,0.7096140164715246,0.4099580312857688
alaska,2020,0.07853403141361258,0.711422749032328,0.42388401373521556
alaska,2021,0.08115183246073299,0.7415321170611713,0.4549790156428844
alaska,2022,0.08376963350785341,0.8148822515102917,0.5228920259442961
arizona,2010,0.20942408376963348,0.38172697784905524,0.3010301411674933
arizona,2011,0.23298429319371722,0.3853926758389504,0.33613124761541396
arizona,2012,0.25916230366492143,0.37941180017122667,0.35940480732544833
arizona,2013,0.2774869109947643,0.37359973954251124,0.35578023655093477
arizona,2014,0.2853403141361256,0.3754567049716029,0.34013735215566576
arizona,2015,0.2853403141361256,0.37939974195415466,0.2878672262495231
arizona,2016,0.2722513089005235,0.3924829074773004,0.2424647081266692
arizona,2017,0.2539267015706806,0.4186492385235919,0.20221289584128196
arizona,2018,0.23036649214659685,0.45124259926927207,0.18981304845478825
arizona,2019,0.20418848167539266,0.48418564831004085,0.19210225104921785
arizona,2020,0.17801047120418848,0.5153440812241502,0.2636398321251431
arizona,2021,0.16230366492146597,0.5682073048679023,0.41262876764593664
arizona,2022,0.1518324607329843,0.6486114963041565,0.5005723006486074
arkansas,2010,0.28010471204188475,0.24690405276675792,0.19687142312094622
arkansas,2011,0.29057591623036644,0.25753940022428284,0.24036627241510874
arkansas,2012,0.2984293193717277,0.2621456391457959,0.2789011827546738
arkansas,2013,0.31151832460732976,0.26500343659186554,0.3065623807706982
arkansas,2014,0.31151832460732976,0.2709843122595893,0.31476535673407097
arkansas,2015,0.31413612565445026,0.2722745414862958,0.2790919496375429
arkansas,2016,0.3010471204188481,0.2839107209607987,0.24170164059519267
arkansas,2017,0.28272251308900526,0.3017207075761778,0.23922167111789394
arkansas,2018,0.2696335078534031,0.3247880768349592,0.21175123998473866
arkansas,2019,0.2539267015706806,0.34734900097671556,0.18924074780618086
arkansas,2020,0.23036649214659685,0.36999433263797615,0.2705074399084319
arkansas,2021,0.2277486910994764,0.401924491444695,0.35291873330789775
arkansas,2022,0.23298429319371722,0.45271370175205894,0.4055703929797787
california,2010,0.1675392670157068,0.5075544729956228,0.7396032048836322
california,2011,0.18586387434554974,0.5165860775825687,0.7493323159099581
california,2012,0.20942408376963348,0.5137885712218592,0.7422739412438001
california,2013,0.22513089005235604,0.5100987567978199,0.7268218237314003
california,2014,0.23821989528795803,0.5148617525412692,0.6871423120946204
california,2015,0.23560209424083767,0.518828905957965,0.6251430751621518
california,2016,0.2225130890052356,0.5425233025044917,0.5814574589851201
california,2017,0.20418848167539266,0.583352425510364,0.5564669973292636
california,2018,0.18324607329842932,0.6322967286057084,0.5492178557802365
