state,year,below_poverty_line_percent,median_household_income,mean cash public assistance income (dollars),"agriculture, forestry, fishing and hunting, and mining",construction,manufacturing,wholesale trade,retail trade,"transportation and warehousing, and utilities",information,"finance and insurance, and real estate and rental and leasing","professional, scientific, and management, and administrative and waste management services","educational services, and health care and social assistance","arts, entertainment, and recreation, and accommodation and food services","other services, except public administration",public administration,private wage and salary workers,government workers,self-employed in own not incorporated business workers,unpaid family workers
alabama,2010,0.08551483420593368,0.09361195853581089,0.049790156428843955,0.010989010989010988,0.06177156177156178,0.057584873227331336,0.060606060606060615,0.06203473945409429,0.028535980148883373,0.01923076923076923,0.025274725274725275,0.011102299762093574,0.03388918773534158,0.0024291497975708486,0.015109890109890105,0.012459371614301192,0.15106951871657748,0.08982035928143713,0.073943661971831,0.05
alabama,2011,0.08987783595113437,0.0970405115899563,0.05742083174360931,0.010989010989010988,0.05710955710955712,0.05629565964761496,0.055944055944055944,0.06203473945409429,0.027295285359801493,0.016826923076923076,0.02417582417582418,0.01189532117367169,0.03711672942442172,0.0028340080971659925,0.016483516483516487,0.013542795232936075,0.14973262032085563,0.09431137724550899,0.06690140845070422,0.05
alabama,2012,0.09424083769633508,0.09794889727604876,0.05875619992369325,0.010378510378510378,0.05361305361305361,0.05457670820799313,0.05361305361305361,0.06286186931348221,0.028535980148883373,0.016826923076923076,0.02307692307692307,0.012291831879460745,0.038730500268961805,0.0036437246963562766,0.016483516483516487,0.014084507042253521,0.15106951871657748,0.09730538922155689,0.05985915492957746,0.0
alabama,2013,0.09860383944153578,0.0983227020052815,0.05926491161134428,0.010378510378510378,0.050116550116550126,0.05414697034808767,0.04895104895104896,0.06203473945409429,0.027295285359801493,0.01442307692307692,0.02307692307692307,0.0126883425852498,0.04142011834319526,0.004453441295546557,0.016483516483516487,0.014084507042253521,0.14973262032085563,0.09880239520958081,0.05633802816901409,0.05
alabama,2014,0.10122164048865617,0.09935970867347554,0.06060027979142821,0.010378510378510378,0.046620046620046623,0.05457670820799313,0.04895104895104896,0.06286186931348221,0.026054590570719603,0.01442307692307692,0.02307692307692307,0.0126883425852498,0.04195804195804197,0.005263157894736845,0.016483516483516487,0.014626218851570961,0.15374331550802137,0.09580838323353291,0.052816901408450724,0.05
alabama,2015,0.10034904013961604,0.0998098821108311,0.06314383822968332,0.009768009768009768,0.044289044289044295,0.05500644606789859,0.046620046620046623,0.06203473945409429,0.027295285359801493,0.01442307692307692,0.02307692307692307,0.013481363996827918,0.04303388918773533,0.005263157894736845,0.016483516483516487,0.014084507042253521,0.16176470588235284,0.08982035928143713,0.04577464788732395,0.05
alabama,2016,0.09685863874345547,0.10437190756974674,0.06238077069820679,0.009157509157509158,0.044289044289044295,0.05543618392780404,0.046620046620046623,0.06203473945409429,0.028535980148883373,0.01442307692307692,0.02307692307692307,0.013481363996827918,0.04303388918773533,0.005263157894736845,0.016483516483516487,0.013542795232936075,0.16577540106951857,0.08532934131736526,0.04577464788732395,0.05
alabama,2017,0.09336823734729492,0.11126116892356297,0.06447920640976727,0.009157509157509158,0.044289044289044295,0.05629565964761496,0.046620046620046623,0.06203473945409429,0.027295285359801493,0.01201923076923077,0.02307692307692307,0.013877874702616973,0.04303388918773533,0.005668016194331985,0.015109890109890105,0.013001083423618633,0.17112299465240635,0.07934131736526945,0.04577464788732395,0.05
alabama,2018,0.08900523560209422,0.11935625198458155,0.05932850057230065,0.008547008547008546,0.045454545454545456,0.05629565964761496,0.04895104895104896,0.060380479735318446,0.029776674937965267,0.01201923076923077,0.021978021978021976,0.014670896114195083,0.042495965572888636,0.005668016194331985,0.015109890109890105,0.012459371614301192,0.1751336898395721,0.07485029940119761,0.04577464788732395,0.05
alabama,2019,0.0820244328097731,0.12759603365046443,0.0724914154902709,0.007936507936507936,0.046620046620046623,0.05672539750752042,0.046620046620046623,0.05789909015715467,0.031017369727047148,0.009615384615384614,0.021978021978021976,0.015067406819984138,0.04303388918773533,0.006072874493927126,0.013736263736263736,0.012459371614301192,0.17379679144385024,0.07634730538922155,0.04577464788732395,0.05
